totalEnrollment,statePopulation,stateBirthRate,stateFertilityRate,statePercentOfTotalBirths,regionPopulation,regionBirthRate,regionFertilityRate,regionPercentOfTotalBirths,stateUnemploymentRate,stateHighSchoolACGR,endowmentMedian,stateTwoYearStudentShareMedian,stateFourYearStudentShareMedian,stateTwoYearAppropriationsPerFTEMedian,stateFourYearAppropriationsPerFTEMedian,stateTwoYearNetTuitionRevenuePerFTEMedian,stateFourYearNetTuitionRevenuePerFTEMedian,statePopulation18to24yoMedian,statePopulation25yoAndOverMedian,statePopulation18to24yoHighSchoolGradMedian,statePopulation25yoAndOverHighSchoolGradMedian,statePopulation18to24yoSomeCollegeOrHigherMedian,statePopulation25yoAndOverSomeCollegeOrHigherMedian,statePerCapitaPersonalIncomeMedian,locationType_Rural,locationType_Suburb,locationType_Town,locationTypeKind_Fringe,locationTypeKind_Large,locationTypeKind_Midsize,locationTypeKind_Remote,locationTypeKind_Small,typeOwned_Public,level_4-year,level_graduate school,level_seminary ,hasUndergraduate_True,hasGraduate_True,hasReligionAffiliation_True,hasSpecialDemographic_True,carnegieAward_Baccalaureate Colleges,carnegieAward_Baccalaureate/Associate's Colleges,carnegieAward_Baccalaureate/Associates Colleges,carnegieAward_Doctoral Universities,carnegieAward_Doctoral/Professional Universities,carnegieAward_Master's Colleges & Universities,carnegieAward_Masters Colleges & Universities,carnegieAward_Special Focus Four-Year,carnegieAward_Special Focus Institutions,"carnegieProgram_Arts, Music & Design Schools",carnegieProgram_Business & Management Schools,carnegieProgram_Diverse Fields,carnegieProgram_Faith-Related Institutions,carnegieProgram_High Research Activity,carnegieProgram_High Transfer-High Nontraditional,carnegieProgram_Larger Programs,carnegieProgram_Medium Programs,carnegieProgram_Mixed Baccalaureate/Associate's,carnegieProgram_Mixed Baccalaureate/Associates,carnegieProgram_Mixed Transfer/Career & Technical-High Traditional,carnegieProgram_Other Health Professions Schools,carnegieProgram_Small Programs,carnegieProgram_Very High Research Activity,isMerged_FALSE,isMerged_TRUE,name
0.0,0.0,0.9647274501093577,0.0,0.6072198839867097,1.9931075774854035,1.0669280506621128,0.0,2.343258662167488,0.0,1.0316389093176646,0.0,0.0,0.0,0.0,0.7955892592403103,0.0,0.9320709788414432,0.0,0.0,0.0,0.5687634549176792,0.0,0.0,0.6505419271179838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alderson Broaddus University
0.0,1.118523126707118,0.0,0.0,1.0274771639217963,0.0,0.0,1.027444281728695,0.0,0.0,0.0,0.0,0.0,1.0322254432136573,0.0,0.9397504180292189,0.0,0.0,0.0,0.7831452979177076,0.0,1.0206017928708881,0.9037213330035768,0.0,1.0677427268227893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0332145696307078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alliance University (Formerly Nyack College)
0.0,0.0,0.0,0.0,0.0,0.0,0.3756257161618738,0.46419857042917356,0.0,0.39165209126165795,0.5422116938706282,0.0,0.0,0.7511505506106173,1.9333265610414316,0.5034143982852244,0.0,0.374635635893332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3413802957433556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762506405488594,0.0,0.0,0.0,0.0,0.0,Ancilla College
0.0,0.0,0.09977018814242045,0.4319439060807587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07471775135836184,0.04244933461609902,0.0,0.0,0.0,0.0,0.04388648099530135,0.05328969813117675,0.07306922603533535,0.0,0.04506354263489456,0.0,0.04631025622047702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04334576963132896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Becker College
0.0,0.0,0.0,0.0,0.0,-0.302174787989475,-1.0004321770833484,-1.023153460509395,-0.27593009189167167,0.7065942142911625,0.0,0.0,-0.0853114567235488,-0.12388425839915651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28591107492127943,0.0,-0.2671670597985944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38878369312853905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bloomfield College
0.0,0.0,0.0,0.0,0.0,0.0,0.6799833427099204,0.5647713270883611,0.0,0.7014215033103085,0.5938261654151122,0.4588548099071874,0.0,0.0,0.7655955427401255,0.7173444293063693,0.5736432325269449,0.0,0.0,0.0,0.4604268262849418,0.43797897455688234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bluffton University 
0.0,0.0,-0.11595233667827509,0.0,0.0,-0.22745188986988332,-0.6646840296911859,-0.6507312275824202,0.0,0.0,0.0,0.0,-0.14736289903174754,-0.42749990504667734,0.0,0.0,0.0,-0.26726761913641695,0.0,0.0,0.0,0.0,0.0,0.0,-0.2469807397832572,0.0,-0.18920513593401758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1090180633999645,0.0,0.0,Cabrini University
0.0,0.0,0.4814738368991787,0.3332283236403169,0.0,0.0,0.0,0.0,0.0,0.0,0.265167428587792,0.0,1.0034663236077612,0.19668493638293322,0.975228153403785,0.771051149201247,0.5780197300411091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797755545507781,0.0,0.0,0.1697507175312527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardinal Stritch University
0.0,0.0,0.0,0.0,0.0,-0.3609816335552625,0.0,0.0,-0.397025415293563,0.0,0.0,0.0,0.0,-0.4108675712300441,-0.2839595394510033,-0.4828892772941707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37220673140371213,0.0,0.0,-0.29990926293208364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8031327783770129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3478384825414335,0.0,0.0,0.0,-0.28734315407556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cazenovia College
0.0,0.0,0.0,0.0,0.0,0.0,0.4510967340745185,0.5865983396983477,0.0,0.6295697332363701,0.567602283848513,0.0,0.0,0.0,0.6424561285018162,0.7733161207297011,0.6705102316198325,0.6320108775978042,0.0,0.50429849158464,0.49638721295461086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatfield College
