name,yearEstablished,state,stateAbbreviation,locationType,locationTypeKind,typeOwned,typeProfit,level,hasUndergraduate,hasGraduate,totalEnrollment,hasReligionAffiliation,religionAffiliation,hasSpecialDemographic,specialDemographic,carnegieAward,carnegieProgram,yearClosed,isMerged,mergingInstitutionType,mergingInstitutionLocationType,mergingInstitutionReligiousAffiliation,reasonFinancial,reasonEnrollment,reasonPandemic,reasonMutualBenefit,region,stateBirths,statePopulation,stateBirthRate,stateFemalePopulation,stateFertilityRate,statePercentOfTotalBirths,regionBirths,regionPopulation,regionBirthRate,regionFemalePopulation,regionFertilityRate,regionPercentOfTotalBirths,stateUnemploymentRate,stateHighSchoolACGR,endowmentMedian,stateTwoYearStudentShareMedian,stateFourYearStudentShareMedian,stateTwoYearAppropriationsPerFTEMedian,stateFourYearAppropriationsPerFTEMedian,stateTwoYearNetTuitionRevenuePerFTEMedian,stateFourYearNetTuitionRevenuePerFTEMedian,statePopulation18to24yoMedian,statePopulation25yoAndOverMedian,statePopulation18to24yoHighSchoolGradMedian,statePopulation25yoAndOverHighSchoolGradMedian,statePopulation18to24yoSomeCollegeOrHigherMedian,statePopulation25yoAndOverSomeCollegeOrHigherMedian,statePerCapitaPersonalIncomeMedian,reasonClosure
Compass College of Film and Media,1997,Michigan,MI,City,Midsize,Private,Nonprofit,4-year,True,False,114,True,Christian,False,None,Special Focus Four-Year,"Arts, Music & Design Schools",2023,TRUE,private nonprofit,City: Midsize,Christian Reformed Church,False,False,False,True,Midwest,628417,60071512,10.46,11321208,55.51,2.85,4578485,411492814,11.13,79003664,57.95,20.73,5.5,81,-1.0,0.315541094671996,0.7263025570808119,11047.41295152365,6608.201607537847,5408.448866705827,17042.67425880482,535631.5,4335329.5,302482.0,1967062.5,535631.5,4335329.5,58800,3
Concordia College,1881,New York,NY,Suburb,Large,Private,Nonprofit,4-year,True,True,2418,True,Lutheran,False,None,Baccalaureate Colleges,Diverse Fields,2021,TRUE,private nonprofit,Suburb: Large,Catholic,True,False,True,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,13291392.0,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,02
Finlandia University,1896,Michigan,MI,Town,Remote,Private,Nonprofit,4-year,True,True,478,True,Evangelical Lutheran,False,None,Baccalaureate Colleges,Diverse Fields,2023,FALSE,None,None,None,True,True,False,False,Midwest,628417,60071512,10.46,11321208,55.51,2.85,4578485,411492814,11.13,79003664,57.95,20.73,5.5,81,5971713.0,0.315541094671996,0.7263025570808119,11047.41295152365,6608.201607537847,5408.448866705827,17042.67425880482,535631.5,4335329.5,302482.0,1967062.5,535631.5,4335329.5,58800,01
Fontbonne University,1923,Missouri,MO,Suburb,Large,Private,Nonprofit,4-year,True,True,944,True,Roman Catholic,False,None,Master's Colleges & Universities,Medium Programs,2025,FALSE,None,None,None,True,True,False,False,Midwest,420242,36957728,11.37,7119267,59.03,1.9,4578485,411492814,11.13,79003664,57.95,20.73,3.9,90,14669491.0,0.259383629198724,0.538452491894517,9476.019711568495,7348.16117426454,3158.651053935421,8110.752685748,318494.5,2520719.5,185163.0,1276294.0,318494.5,2520719.5,59202,01
Hodges University,1990,Florida,FL,City,Small,Private,Nonprofit,4-year,True,True,443,False,None,True,Military/Veteran,Master's Colleges & Universities,Small Programs,2024,FALSE,None,None,None,True,False,False,False,South,1313318,131147051,10.01,23772622,55.24,5.95,8821173,763063961,11.56,150408029,58.65,39.95,3.7,87,2911056.5,0.325942300819045,0.1566433926291635,5331.271034996111,11773.0667474637,2591.065804159962,2156.157855392928,948202.0,9289421.0,558375.0,4295735.5,948202.0,9289421.0,64409,0
Holy Family College,1935,Wisconsin,WI,Town,Distant,Private,Nonprofit,4-year,True,True,534,True,Catholic,False,None,Masters Colleges & Universities,Small Programs,2020,FALSE,None,None,None,True,True,True,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,7049535.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,012
Holy Names University,1868,California,CA,City,Large,Private,Nonprofit,4-year,True,True,1212,True,Roman Catholic,False,None,Master's Colleges & Universities,Small Programs,2023,FALSE,None,None,None,True,True,False,False,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,54619996.0,0.05487389332183736,0.3795263519464645,13308.35406524026,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356,01
Independence University,1978,Utah,UT,Suburb,Large,Private,Nonprofit,4-year,True,True,11578,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2021,FALSE,None,None,None,True,False,False,False,West,277236,19753451,14.03,4341180,63.86,1.26,5153390,471302990,10.93,94808378,54.36,23.34,3.1,88,-1.0,0.228334925744748,0.459598785004685,10245.8053379977,8666.78476115662,2880.964538053068,7632.143390174949,201937.5,1332664.0,117898.0,430395.5,201937.5,1332664.0,59964,0
Indiana University-Purdue University Indianapolis,1969,Indiana,IN,City,Large,Public,Nonprofit,4-year,True,True,25979,False,None,False,None,Doctoral Universities,High Research Activity,2024,FALSE,None,None,None,False,False,False,True,Midwest,479716,40680271,11.79,7927380,60.51,2.17,4578485,411492814,11.13,79003664,57.95,20.73,3.9,88,1710969892.0,0.366015945298684,0.6796433199791174,5427.399791851871,6263.361828037159,3082.258414145963,12604.8478012944,337715.5,2531049.0,228011.0,1484195.5,337715.5,2531049.0,59797,3
Iowa Wesleyan University,1842,Iowa,IA,Town,Remote,Private,Nonprofit,4-year,True,True,921,True,United Methodist Church,False,None,Baccalaureate Colleges,Diverse Fields,2023,FALSE,None,None,None,True,False,False,False,Midwest,220941,19075376,11.58,3613047,61.15,1.0,4578485,411492814,11.13,79003664,57.95,20.73,3.5,90,17472713.0,0.4949330945249975,0.673307076352451,5430.611737231238,6848.108686746589,5256.496869676854,13817.87840515333,195680.5,1308861.5,90674.5,648635.5,195680.5,1308861.5,60415,0
Johnson University Florida,1893,Florida,FL,Suburb,Large,Private,Nonprofit,4-year,True,True,155,True,Christian Churches and Churches of Christ,False,None,Special Focus Four-Year,Faith-Related Institutions,2024,FALSE,None,None,None,True,True,False,False,South,1313318,131147051,10.01,23772622,55.24,5.95,8821173,763063961,11.56,150408029,58.65,39.95,3.7,87,1707560.0,0.325942300819045,0.1566433926291635,5331.271034996111,11773.0667474637,2591.065804159962,2156.157855392928,948202.0,9289421.0,558375.0,4295735.5,948202.0,9289421.0,64409,01
Judson College,1838,Alabama,AL,City,Midsize,Private,Nonprofit,4-year,True,False,80,True,Baptist,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2021,FALSE,None,None,None,True,False,False,False,South,348084,29935229,11.63,5816314,59.85,1.58,8821173,763063961,11.56,150408029,58.65,39.95,3.3,88,15388964.0,0.385234199314908,0.7317350437260854,8568.466691381636,6978.777830698889,5086.443237800877,16444.21279930995,247350.5,1916632.0,158047.0,1032024.0,247350.5,1916632.0,52798,0
Lincoln Christian University,1944,Illinois,IL,Town,Distant,Private,Nonprofit,4-year,True,True,258,True,Christian Churches and Churches of Christ,False,None,Master's Colleges & Universities,Small Programs,2024,TRUE,private nonprofit,City: Small,Restoration Movement of Christian Churches; Churches of Christ,True,True,False,False,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,5404123.5,0.2614484825596075,0.3277697340007255,16293.29335724921,21547.39609391513,5767.376663062776,10105.15878191106,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959,01
Lincoln College,1865,Illinois,IL,Town,Distant,Private,Nonprofit,4-year,True,False,888,False,None,True,Predominantly Black Institution,Baccalaureate/Associates Colleges,Mixed Baccalaureate/Associates,2022,FALSE,None,None,None,True,True,True,False,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,20579822.5,0.2614484825596075,0.3277697340007255,16293.29335724921,21547.39609391513,5767.376663062776,10105.15878191106,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959,012
MacMurray College,1846,Illinois,IL,Rural,Remote,Private,Nonprofit,4-year,True,True,588,True,United Methodist Church,False,None,Baccalaureate Colleges,Diverse Fields,2020,FALSE,None,None,None,True,False,False,False,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,15066671.0,0.2614484825596075,0.3277697340007255,16293.29335724921,21547.39609391513,5767.376663062776,10105.15878191106,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959,0
Magdalen College of the Liberal Arts,1973,New Hampshire,NH,Rural,Distant,Private,Nonprofit,4-year,True,False,59,True,Roman Catholic,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2024,FALSE,None,None,None,False,True,False,False,Northeast,72263,8268721,8.74,1497455,48.26,0.33,3527918,339127512,10.4,65420694,53.93,15.98,3.1,88,-1.0,0.4202344630578275,0.795080589633126,7828.965195297479,3528.50509513986,5721.480135773651,13581.59701207327,72538.0,647354.5,41456.0,267147.5,72538.0,647354.5,74338,1
Marlboro College,1946,Vermont,VT,Rural,Distant,Private,Nonprofit,4-year,True,True,154,False,None,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2020,TRUE,private nonprofit,City: Large,None,False,True,False,False,Northeast,31691,3813733,8.31,704655,44.97,0.14,3527918,339127512,10.4,65420694,53.93,15.98,2.7,83,36676343.5,0.5216166500944125,0.8088723161185425,5892.327939161194,5506.106571150871,6425.221349175929,19466.46266265964,39227.5,293930.0,22188.0,126764.5,39227.5,293930.0,64176,1
Martin Methodist College (UT Southern),1870,Tennessee,TN,Town,Distant,Private,Nonprofit,4-year,True,True,885,False,None,False,None,Baccalaureate Colleges,Diverse Fields,2021,TRUE,public,Varies,None,False,False,False,True,South,486893,41639064,11.69,8166631,59.62,2.21,8821173,763063961,11.56,150408029,58.65,39.95,3.5,90,-1.0,0.1001414654617681,0.4858627892523935,9470.300768417346,10080.28205528825,1089.871652754264,9069.128216591747,328058.0,2657985.5,220804.0,1482730.5,328058.0,2657985.5,59954,3
Marymount California University,1932,California,CA,Suburb,Large,Private,Nonprofit,4-year,True,False,514,True,Roman Catholic,False,None,Baccalaureate Colleges,Diverse Fields,2022,FAILED,private nonprofit,Suburb: Small,Roman Catholic,True,True,True,False,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,12649877.0,0.05487389332183736,0.3795263519464645,13308.35406524026,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356,012
Medaille University,1937,New York,NY,City,Large,Private,Nonprofit,4-year,True,True,2937,False,None,False,None,Master's Colleges & Universities,Larger Programs,2023,FALSE,None,None,None,True,True,False,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,1988890.0,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,01
Mills College,1852,California,CA,City,Large,Private,Nonprofit,4-year,True,True,817,False,None,False,None,Masters Colleges & Universities,Larger Programs,2022,TRUE,private nonprofit,City: Large,None,True,False,False,False,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,193841296.0,0.05487389332183736,0.3795263519464645,13308.35406524026,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356,0
Multnomah University,1936,Oregon,OR,City,Large,Private,Nonprofit,4-year,True,True,655,False,None,False,None,Special Focus Institutions,Diverse Fields,2024,TRUE,private nonprofit,Rural: Fringe,Christian,True,False,False,False,West,242571,25369607,9.56,4987114,48.64,1.1,5153390,471302990,10.93,94808378,54.36,23.34,4.7,81,7828000.0,0.2349996906887755,0.6933042791022994,11453.39053520281,6680.196165876107,3386.05933812637,14733.36222905006,201047.0,2033707.5,116323.0,667712.0,201047.0,2033707.5,64964,0
Nebraska Christian College,1945,Nebraska,NE,Suburb,Large,Private,Nonprofit,4-year,True,True,85,True,Christian churches and churches of Christ,False,None,Special Focus Four-Year,Faith-Related Institutions,2020,FALSE,None,None,None,True,True,False,False,Midwest,147599,11711222,12.6,2272581,64.95,0.67,4578485,411492814,11.13,79003664,57.95,20.73,3.0,87,-1.0,0.164144966294825,0.469259149384612,13523.98734223129,10126.36076468255,2619.655124117181,8653.941640019453,114223.0,836311.0,56212.5,326109.0,114223.0,836311.0,64583,01
Notre Dame College,1922,Ohio,OH,Suburb,Large,Private,Nonprofit,4-year,True,True,1400,True,Catholic,False,None,Baccalaureate Colleges,Diverse Fields,2024,FALSE,None,None,None,True,False,False,False,Midwest,783704,70393769,11.13,13365288,58.64,3.55,4578485,411492814,11.13,79003664,57.95,20.73,4.9,86,10300395.5,0.3143400444538715,0.6424417130925635,6560.029080630358,6319.840583535281,3024.249869683103,11034.09105291064,556602.5,4685586.5,373537.5,2632433.5,556602.5,4685586.5,59376,0
Ohio Valley University,1960,West Virginia,WV,City,Small,Private,Nonprofit,4-year,True,True,273,True,Church of Christ,False,None,Baccalaureate Colleges,Diverse Fields,2021,FALSE,None,None,None,True,False,False,False,South,104440,10710952,9.75,1888053,55.32,0.47,8821173,763063961,11.56,150408029,58.65,39.95,3.8,91,2014174.0,0.301848050290377,0.645993811308187,8495.632350228272,5634.822870065615,3552.45964571835,8324.661159207033,79926.5,612398.0,60470.5,512687.5,79926.5,612398.0,51075,0
Pacific Northwest College of Art,1909,Oregon,OR,City,Large,Private,Nonprofit,4-year,True,True,481,False,None,False,None,Special Focus Four-Year,"Arts, Music & Design Schools",2021,TRUE,private nonprofit,City: Midsize,None,False,False,False,True,West,242571,25369607,9.56,4987114,48.64,1.1,5153390,471302990,10.93,94808378,54.36,23.34,4.7,81,-1.0,0.2349996906887755,0.6933042791022994,11453.39053520281,6680.196165876107,3386.05933812637,14733.36222905006,201047.0,2033707.5,116323.0,667712.0,201047.0,2033707.5,64964,3
Pennsylvania College of Health Sciences,1903,Pennsylvania,PA,Suburb,Large,Private,Nonprofit,2-year,True,True,1816,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2024,TRUE,private nonprofit,City: Large,Jesuit,False,False,False,True,Northeast,790421,77290050,10.23,14466075,54.64,3.58,3527918,339127512,10.4,65420694,53.93,15.98,3.9,87,11342407.5,0.3843867985777585,0.7168726858949119,6778.934516597485,5260.538889977555,4229.438703670017,13302.80125815099,624895.0,5176216.0,403792.0,3075860.0,624895.0,5176216.0,66449,3
Pine Manor College,1911,Massachusetts,MA,Suburb,Large,Private,Nonprofit,4-year,True,True,249,False,None,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2020,TRUE,private nonprofit,City: Small,None,True,False,False,False,Northeast,409468,41656322,9.83,8419406,48.63,1.85,3527918,339127512,10.4,65420694,53.93,15.98,4.6,90,9614748.0,0.2544292577046095,0.4148976448019415,11369.39563114195,12392.1215858976,3823.431200918245,8164.798012621362,433897.0,3292373.5,194673.5,1135221.5,433897.0,3292373.5,85585,0
Presentation College,1951,South Dakota,SD,Town,Remote,Private,Nonprofit,4-year,True,False,694,True,Roman Catholic,False,None,Special Focus Four-Year,Other Health Professions Schools,2023,FALSE,None,None,None,True,False,False,False,Midwest,68073,5384129,12.64,992778,68.57,0.31,4578485,411492814,11.13,79003664,57.95,20.73,1.8,82,13047759.0,0.4987475284324995,0.6103838374688726,5447.22137133382,6539.518247540037,5169.988446609436,9281.76567612466,45414.5,360925.0,25815.0,175065.5,45414.5,360925.0,67885,0
Presidio Graduate School,2003,California,CA,City,Large,Private,Nonprofit,graduate school,False,True,197,False,None,True,Sustainability,Special Focus Four-Year,Business & Management Schools,2023,TRUE,private nonprofit,City: Small,American Baptist Churches USA,True,False,False,False,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,-1.0,0.05487389332183736,0.3795263519464645,13308.35406524026,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356,0
Salus University,1919,Pennsylvania,PA,Suburb,Large,Private,Nonprofit,graduate school,False,True,1165,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2024,TRUE,private nonprofit,City: Large,None,False,False,False,True,Northeast,790421,77290050,10.23,14466075,54.64,3.58,3527918,339127512,10.4,65420694,53.93,15.98,3.9,87,46440545.5,0.3843867985777585,0.7168726858949119,6778.934516597485,5260.538889977555,4229.438703670017,13302.80125815099,624895.0,5176216.0,403792.0,3075860.0,624895.0,5176216.0,66449,3
San Francisco Art Institute,1871,California,CA,City,Large,Private,Nonprofit,4-year,True,True,70,False,None,False,None,Special Focus Four-Year,"Arts, Music & Design Schools",2022,FALSE,None,None,None,True,False,False,False,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,8300324.0,0.05487389332183736,0.3795263519464645,13308.35406524026,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356,0
Sierra Nevada University,1969,Nevada,NV,Town,Distant,Private,Nonprofit,4-year,True,True,631,False,None,False,None,Master's Colleges & Universities,Medium Programs,2022,TRUE,public,City: Large,None,False,True,True,False,West,203080,18768746,10.82,3675214,55.26,0.92,5153390,471302990,10.93,94808378,54.36,23.34,5.6,82,5356152.5,0.221765056560463,0.2652556857209915,6693.726142668173,9758.372147943,1937.2730027528,3639.954838586787,111456.0,1244746.5,103380.5,586143.0,111456.0,1244746.5,62865,12
St. Augustine College,1980,Illinois,IL,City,Large,Private,Nonprofit,2-year,True,False,680,True,Episcopalian,True,Biligual (Spanish),Baccalaureate/Associate's Colleges,Mixed Baccalaureate/Associate's,2024,TRUE,private nonprofit,Suburb: Large,Lasallian,False,False,False,True,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,144022.0,0.2614484825596075,0.3277697340007255,16293.29335724921,21547.39609391513,5767.376663062776,10105.15878191106,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959,3
St. John's University -- Staten Island,1933,New York,NY,City,Large,Private,Nonprofit,4-year,True,True,861,True,Catholic,False,None,Special Focus Four-Year,Diverse Fields,2024,FALSE,None,None,None,False,True,False,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,-1.0,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,1
St. Louis Christian College,1956,Missouri,MO,Suburb,Large,Private,Nonprofit,4-year,True,True,62,True,Christian Churches and Churches of Christ,False,None,Special Focus Four-Year,Faith-Related Institutions,2022,TRUE,private nonprofit,Town: Distant,None,False,True,False,False,Midwest,420242,36957728,11.37,7119267,59.03,1.9,4578485,411492814,11.13,79003664,57.95,20.73,3.9,90,1100430.0,0.259383629198724,0.538452491894517,9476.019711568495,7348.16117426454,3158.651053935421,8110.752685748,318494.5,2520719.5,185163.0,1276294.0,318494.5,2520719.5,59202,1
The College of Saint Rose,1920,New York,NY,City,Small,Private,Nonprofit,4-year,True,True,2786,True,Catholic,False,None,Master's Colleges & Universities,Larger Programs,2024,FALSE,None,None,None,True,False,False,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,42532671.4017944,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,0
University of the Sciences,1821,Pennsylvania,PA,City,Large,Private,Nonprofit,4-year,True,True,2420,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2022,TRUE,private nonprofit,City: Large,None,False,False,False,True,Northeast,790421,77290050,10.23,14466075,54.64,3.58,3527918,339127512,10.4,65420694,53.93,15.98,3.9,87,163517140.0,0.3843867985777585,0.7168726858949119,6778.934516597485,5260.538889977555,4229.438703670017,13302.80125815099,624895.0,5176216.0,403792.0,3075860.0,624895.0,5176216.0,66449,3
Urbana University,1850,Ohio,OH,Town,Distant,Private,Nonprofit,4-year,True,True,1254,False,None,False,None,Baccalaureate Colleges,Diverse Fields,2020,FALSE,None,None,None,True,False,True,False,Midwest,783704,70393769,11.13,13365288,58.64,3.55,4578485,411492814,11.13,79003664,57.95,20.73,4.9,86,-1.0,0.3143400444538715,0.6424417130925635,6560.029080630358,6319.840583535281,3024.249869683103,11034.09105291064,556602.5,4685586.5,373537.5,2632433.5,556602.5,4685586.5,59376,02
