name,yearEstablished,state,stateAbbreviation,locationType,locationTypeKind,typeOwned,typeProfit,level,hasUndergraduate,hasGraduate,totalEnrollment,hasReligionAffiliation,religionAffiliation,hasSpecialDemographic,specialDemographic,carnegieAward,carnegieProgram,yearClosed,isMerged,mergingInstitutionPopulation,mergingInstitutionType,mergingInstitutionLocationType,mergingInstitutionReligiousAffiliation,reasonFinancial,reasonEnrollment,reasonPandemic,reasonMutualBenefit,region,stateBirths,statePopulation,stateBirthRate,stateFemalePopulation,stateFertilityRate,statePercentOfTotalBirths,regionBirths,regionPopulation,regionBirthRate,regionFemalePopulation,regionFertilityRate,regionPercentOfTotalBirths,stateUnemploymentRate,stateHighSchoolACGR,endowmentMedian,stateTwoYearStudentShareMedian,stateFourYearStudentShareMedian,stateTwoYearAppropriationsPerFTEMedian,stateFourYearAppropriationsPerFTEMedian,stateTwoYearNetTuitionRevenuePerFTEMedian,stateFourYearNetTuitionRevenuePerFTEMedian,statePopulation18to24yoMedian,statePopulation25yoAndOverMedian,statePopulation18to24yoHighSchoolGradMedian,statePopulation25yoAndOverHighSchoolGradMedian,statePopulation18to24yoSomeCollegeOrHigherMedian,statePopulation25yoAndOverSomeCollegeOrHigherMedian,statePerCapitaPersonalIncomeMedian
Compass College of Film and Media,1997,Michigan,MI,City,Midsize,Private,Nonprofit,4-year,TRUE,FALSE,114,TRUE,Christian,FALSE,None,Special Focus Four-Year,"Arts, Music & Design Schools",2023,TRUE,3231,private nonprofit,City: Midsize,Christian Reformed Church,FALSE,FALSE,FALSE,TRUE,Midwest,628417,60071512,10.46,11321208,55.51,2.85,4578485,411492814,11.13,79003664,57.95,20.73,5.5,81,,0.315541094671996,0.7263025570808119,11047.412951523655,6608.201607537847,5408.448866705827,17042.674258804822,535631.5,4335329.5,302482.0,1967062.5,535631.5,4335329.5,58800.0
Concordia College,1881,New York,NY,Suburb,Large,Private,Nonprofit,4-year,TRUE,TRUE,2418,TRUE,Lutheran,FALSE,None,Baccalaureate Colleges,Diverse Fields,2021,TRUE,3621,private nonprofit,Suburb: Large,Catholic,TRUE,FALSE,TRUE,FALSE,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,13291392.0,0.31073344616373955,0.323873746043261,11111.584383443082,14514.215741548844,4968.842112049599,7115.0764966239785,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501.0
Finlandia University,1896,Michigan,MI,Town,Remote,Private,Nonprofit,4-year,TRUE,TRUE,478,TRUE,Evangelical Lutheran,FALSE,None,Baccalaureate Colleges,Diverse Fields,2023,FALSE,None,None,None,None,TRUE,TRUE,FALSE,FALSE,Midwest,628417,60071512,10.46,11321208,55.51,2.85,4578485,411492814,11.13,79003664,57.95,20.73,5.5,81,5971713.0,0.315541094671996,0.7263025570808119,11047.412951523655,6608.201607537847,5408.448866705827,17042.674258804822,535631.5,4335329.5,302482.0,1967062.5,535631.5,4335329.5,58800.0
Fontbonne University,1923,Missouri,MO,Suburb,Large,Private,Nonprofit,4-year,TRUE,TRUE,944,TRUE,Roman Catholic,FALSE,None,Master's Colleges & Universities,Medium Programs,2025,FALSE,None,None,None,None,TRUE,TRUE,FALSE,FALSE,Midwest,420242,36957728,11.37,7119267,59.03,1.9,4578485,411492814,11.13,79003664,57.95,20.73,3.9,90,14669491.0,0.259383629198724,0.538452491894517,9476.019711568495,7348.16117426454,3158.6510539354213,8110.752685748,318494.5,2520719.5,185163.0,1276294.0,318494.5,2520719.5,59202.0
Hodges University,1990,Florida,FL,City,Small,Private,Nonprofit,4-year,TRUE,TRUE,443,FALSE,None,TRUE,Military/Veteran,Master's Colleges & Universities,Small Programs,2024,FALSE,None,None,None,None,TRUE,FALSE,FALSE,FALSE,South,1313318,131147051,10.01,23772622,55.24,5.95,8821173,763063961,11.56,150408029,58.65,39.95,3.7,87,2911056.5,0.32594230081904496,0.1566433926291635,5331.271034996111,11773.0667474637,2591.0658041599618,2156.1578553929285,948202.0,9289421.0,558375.0,4295735.5,948202.0,9289421.0,64409.0
Holy Family College,1935,Wisconsin,WI,Town,Distant,Private,Nonprofit,4-year,TRUE,TRUE,534,TRUE,Catholic,FALSE,None,Masters Colleges & Universities,Small Programs,2020,FALSE,None,None,None,None,TRUE,TRUE,TRUE,FALSE,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,7049535.0,0.15446801199486448,0.6092728988747695,13814.16554472104,6027.145088168825,2499.6983787069603,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713.0
Holy Names University,1868,California,CA,City,Large,Private,Nonprofit,4-year,TRUE,TRUE,1212,TRUE,Roman Catholic,FALSE,None,Master's Colleges & Universities,Small Programs,2023,FALSE,None,None,None,None,TRUE,TRUE,FALSE,FALSE,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,54619996.0,0.054873893321837355,0.3795263519464645,13308.354065240255,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356.0
Independence University,1978,Utah,UT,Suburb,Large,Private,Nonprofit,4-year,TRUE,TRUE,11578,FALSE,None,FALSE,None,Special Focus Four-Year,Other Health Professions Schools,2021,FALSE,None,None,None,None,FALSE,FALSE,FALSE,FALSE,West,277236,19753451,14.03,4341180,63.86,1.26,5153390,471302990,10.93,94808378,54.36,23.34,3.1,88,,0.228334925744748,0.459598785004685,10245.805337997703,8666.78476115662,2880.9645380530683,7632.143390174949,201937.5,1332664.0,117898.0,430395.5,201937.5,1332664.0,59964.0
Indiana University-Purdue University Indianapolis,1969,Indiana,IN,City,Large,Public,Nonprofit,4-year,TRUE,TRUE,25979,FALSE,None,FALSE,None,Doctoral Universities,High Research Activity,2024,FALSE,None,None,None,None,FALSE,FALSE,FALSE,TRUE,Midwest,479716,40680271,11.79,7927380,60.51,2.17,4578485,411492814,11.13,79003664,57.95,20.73,3.9,88,1710969892.0,0.366015945298684,0.6796433199791174,5427.399791851871,6263.361828037159,3082.258414145963,12604.847801294396,337715.5,2531049.0,228011.0,1484195.5,337715.5,2531049.0,59797.0
Iowa Wesleyan University,1842,Iowa,IA,Town,Remote,Private,Nonprofit,4-year,TRUE,TRUE,921,TRUE,United Methodist Church,FALSE,None,Baccalaureate Colleges,Diverse Fields,2023,FALSE,None,None,None,None,TRUE,FALSE,FALSE,FALSE,Midwest,220941,19075376,11.58,3613047,61.15,1.0,4578485,411492814,11.13,79003664,57.95,20.73,3.5,90,17472713.0,0.49493309452499745,0.673307076352451,5430.611737231238,6848.108686746589,5256.496869676854,13817.87840515333,195680.5,1308861.5,90674.5,648635.5,195680.5,1308861.5,60415.0
