index,uid,name,year_established,state,state_abbr,zip,location_type,location_type_kind,public_private,type,level,has_undergrad,has_grad,total_enrollment,has_religion_affiliation,religion_affiliation,has_special_demographic,special_demographic,carnegie_classification,carnegie_classification_2,year_closed,is_merged,merging_institution,merging_institution_population,merging_institution_type,merging_institution_zip,merging_institution_location_type,merging_institution_religious_affiliation,reason_financial,reason_enrollment,reason_pandemic,reason_mutual_benefit,reason_for_closure,endowment_median_2018,endowment_median_2019,endowment_median_2020,endowment_median_2021,endowment_median_2022,endowment_median_2023,endowment_median_2024
18,465812.0,Independence University,1978,Utah,UT,84401,Suburb,Large,Private,Nonprofit,4-year,,,11578.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2021,No,,,,,,,0,0,0,0,"Unclear, sudden closure",,,,,,,
19,151111.0,Indiana University-Purdue University Indianapolis,1969,Indiana,IN,46202,City,Large,Public,Nonprofit,4-year,,,25979.0,0,,0,,Doctoral Universities,High Research Activity,2024,No,,,,,,,0,0,0,1,"Mutual Benefit, separating into different institutions",1177983781.0,1241294915.0,1147557403.0,2252019515.0,2180644869.0,2969128162.21875,0.0
20,153621.0,Iowa Wesleyan University,1842,Iowa,IA,52641,Town,Remote,Private,Nonprofit,4-year,,,921.0,1,United Methodist Church,0,,Baccalaureate Colleges,Diverse Fields,2023,No,,,,,,,1,0,0,0,Financial,17472713.0,17400996.0,17463237.0,18321843.0,18993810.0,0.0,0.0
21,132879.0,Johnson University Florida,1893,Florida,FL,34744,Suburb,Large,Private,Nonprofit,4-year,,,155.0,1,Christian Churches and Churches of Christ,0,,Special Focus Four-Year,Faith-Related Institutions,2024,No,,,,,,,1,1,0,0,"Enrollment, Financial",1425097.0,1744966.0,1583206.0,1670154.0,1928898.0,2013530.19997406,0.0
22,101541.0,Judson College,1838,Alabama,AL,36756,City,Midsize,Private,Nonprofit,4-year,,,80.0,1,Baptist,0,,Baccalaureate Colleges,Arts & Sciences Focus,2021,No,,,,,,,1,0,0,0,Financial,15388964.0,15479806.0,14047540.0,0.0,0.0,0.0,0.0
23,146667.0,Lincoln Christian University,1944,Illinois,IL,62656,Town,Distant,Private,Nonprofit,4-year,,,258.0,1,Christian Churches and Churches of Christ,0,,Master's Colleges & Universities,Small Programs,2024,Yes,Ozark Christian College,689,private nonprofit,64801,City: Small,Restoration Movement of Christian Churches; Churches of Christ,1,1,0,0,"Enrollment, Financial",5336831.0,5301066.0,5385565.0,5715377.0,5422682.0,5473834.60006713,0.0
24,146676.0,Lincoln College,1865,Illinois,IL,62656,Town,Distant,Private,Nonprofit,4-year,,,888.0,0,,1,Predominantly Black Institution,Baccalaureate/Associates Colleges,Mixed Baccalaureate/Associates,2022,No,,,,,,,1,1,1,0,"Pandemic, Enrollment, Financial",1969345.0,20106194.0,21053451.0,23684584.0,0.0,0.0,0.0
25,146825.0,MacMurray College,1846,Illinois,IL,62650,Rural,Remote,Private,Nonprofit,4-year,,,588.0,1,United Methodist Church,0,,Baccalaureate Colleges,Diverse Fields,2020,No,,,,,,,1,0,0,0,Financial,15953169.0,14180173.0,0.0,0.0,0.0,0.0,0.0
26,182917.0,Magdalen College of the Liberal Arts,1973,New Hampshire,NH,3278,Rural,Distant,Private,Nonprofit,4-year,,,59.0,1,Roman Catholic,0,,Baccalaureate Colleges,Arts & Sciences Focus,2024,No,,,,,,,0,1,0,0,Enrollment,,,,,,,
27,230940.0,Marlboro College,1946,Vermont,VT,5344,Rural,Distant,Private,Nonprofit,4-year,,,154.0,0,,0,,Baccalaureate Colleges,Arts & Sciences Focus,2020,Yes,Emerson College,5891,private nonprofit,2116,City: Large,,0,1,0,0,Enrollment,37619624.0,35733063.0,0.0,0.0,0.0,0.0,0.0
28,220701.0,Martin Methodist College (UT Southern),1870,Tennessee,TN,38478,Town,Distant,Private,Nonprofit,4-year,,,885.0,0,,0,,Baccalaureate Colleges,Diverse Fields,2021,Yes,University of Tennessee,49000,public,37996,Varies,,0,0,0,1,Mutual Benefit,,,,,,,
